[2026-08-25 12:59:00] GET / | Status: 404 | Response Time: 12ms
[2026-08-25 13:10:08] GET /api | Status: 200 | Response Time: 20ms
[2026-08-25 13:11:06] GET /api/applications | Status: 403 | Response Time: 14ms
[2026-08-26 06:13:23] OPTIONS /api/users | Status: 204 | Response Time: 49ms
[2026-08-26 06:13:23] GET /api/users | Status: 304 | Response Time: 61ms
[2026-08-26 06:13:23] OPTIONS /api/audit-logs | Status: 204 | Response Time: 2ms
[2026-08-26 06:13:23] POST /api/audit-logs | Status: 201 | Response Time: 703ms
[2026-08-26 06:13:24] OPTIONS /api/applications | Status: 204 | Response Time: 0ms
[2026-08-26 06:13:24] GET /api/applications | Status: 304 | Response Time: 3ms
[2026-08-26 06:13:24] OPTIONS /api/licenses | Status: 204 | Response Time: 9ms
[2026-08-26 06:13:24] GET /api/licenses | Status: 304 | Response Time: 9ms
[2026-08-26 06:13:24] OPTIONS /api/inspections | Status: 204 | Response Time: 1ms
[2026-08-26 06:13:24] GET /api/inspections | Status: 304 | Response Time: 5ms
[2026-08-26 06:13:24] OPTIONS /api/users | Status: 204 | Response Time: 1ms
[2026-08-26 06:13:24] GET /api/users | Status: 304 | Response Time: 2ms
[2026-08-26 06:18:24] OPTIONS /api/users | Status: 204 | Response Time: 9ms
[2026-08-26 06:18:24] GET /api/users | Status: 304 | Response Time: 13ms
[2026-08-26 06:18:24] OPTIONS /api/audit-logs | Status: 204 | Response Time: 1ms
[2026-08-26 06:18:24] POST /api/audit-logs | Status: 201 | Response Time: 6ms
[2026-08-26 06:18:25] OPTIONS /api/applications | Status: 204 | Response Time: 1ms
[2026-08-26 06:18:25] GET /api/applications | Status: 304 | Response Time: 10ms
[2026-08-26 06:18:25] OPTIONS /api/licenses | Status: 204 | Response Time: 2ms
[2026-08-26 06:18:25] GET /api/licenses | Status: 304 | Response Time: 15ms
[2026-08-26 06:18:25] OPTIONS /api/inspections | Status: 204 | Response Time: 6ms
[2026-08-26 06:18:25] GET /api/inspections | Status: 304 | Response Time: 1ms
[2026-08-26 06:18:25] OPTIONS /api/users | Status: 204 | Response Time: 0ms
[2026-08-26 06:18:25] GET /api/users | Status: 304 | Response Time: 2ms
[2026-08-26 06:21:20] OPTIONS /api/users | Status: 204 | Response Time: 1ms
[2026-08-26 06:21:20] GET /api/users | Status: 304 | Response Time: 2ms
[2026-08-26 06:21:20] OPTIONS /api/audit-logs | Status: 204 | Response Time: 0ms
[2026-08-26 06:21:20] POST /api/audit-logs | Status: 201 | Response Time: 4ms
[2026-08-26 06:21:21] OPTIONS /api/applications | Status: 204 | Response Time: 1ms
[2026-08-26 06:21:21] GET /api/applications | Status: 304 | Response Time: 2ms
[2026-08-26 06:21:21] OPTIONS /api/licenses | Status: 204 | Response Time: 1ms
[2026-08-26 06:21:21] GET /api/licenses | Status: 304 | Response Time: 3ms
[2026-08-26 06:21:21] OPTIONS /api/inspections | Status: 204 | Response Time: 1ms
[2026-08-26 06:21:21] GET /api/inspections | Status: 304 | Response Time: 1ms
[2026-08-26 06:21:21] OPTIONS /api/users | Status: 204 | Response Time: 1ms
[2026-08-26 06:21:21] GET /api/users | Status: 304 | Response Time: 1ms
[2026-08-26 06:33:56] GET / | Status: 404 | Response Time: 167ms
[2026-08-26 06:34:15] GET / | Status: 404 | Response Time: 11ms
[2026-08-26 06:34:50] GET / | Status: 404 | Response Time: 6ms
[2026-08-26 06:35:09] GET /api | Status: 200 | Response Time: 24ms
[2026-08-26 06:35:20] GET /api/docs | Status: 200 | Response Time: 26ms
[2026-08-26 06:35:21] GET /api/docs/swagger-ui-init.js | Status: 200 | Response Time: 310ms
[2026-08-26 06:35:21] GET /api/docs/swagger-ui.css | Status: 200 | Response Time: 399ms
[2026-08-26 06:35:21] GET /api/docs/swagger-ui-standalone-preset.js | Status: 200 | Response Time: 945ms
[2026-08-26 06:35:21] GET /api/docs/swagger-ui-bundle.js | Status: 200 | Response Time: 1158ms
[2026-08-26 06:35:22] GET /api/docs/favicon-32x32.png | Status: 200 | Response Time: 13ms
